datetime,channel,model,learning_method,RMSE,PC
2022-07-10T15:08:04Z,world,A: shares ~ weekday + selected numeric vars,Random_Forests,7761.804062,PC1
2022-07-10T15:08:44Z,misc,B: shares ~ is_weekend + all numeric vars,Random_Forests,7614.715222,PC1
2022-07-10T15:08:44Z,misc,A: shares ~ weekday + selected numeric vars,Random_Forests,7761.804062,PC1
2022-07-10T15:08:44Z,misc,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,23680.23263,PC1
2022-07-10T15:08:44Z,misc,A: shares ~ weekday + selected numeric vars,Linear_Regression,23698.14511,PC1
2022-07-10T15:08:44Z,misc,A: shares ~ weekday + selected numeric vars,Boosted_Tree,23701.96222,PC1
2022-07-10T15:08:44Z,misc,B: shares ~ is_weekend + all numeric vars,Linear_Regression,23740.76249,PC1
2022-07-10T15:09:04Z,socmed,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4103.871909,PC1
2022-07-10T15:09:04Z,socmed,A: shares ~ weekday + selected numeric vars,Linear_Regression,4118.489537,PC1
2022-07-10T15:09:04Z,socmed,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4126.916866,PC1
2022-07-10T15:09:04Z,socmed,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4179.68235,PC1
2022-07-10T15:09:04Z,socmed,B: shares ~ is_weekend + all numeric vars,Random_Forests,7614.715222,PC1
2022-07-10T15:09:04Z,socmed,A: shares ~ weekday + selected numeric vars,Random_Forests,7761.804062,PC1
2022-07-10T16:09:08Z,entertainment,B: shares ~ is_weekend + all numeric vars,Random_Forests,7614.715222,PC1
2022-07-10T16:09:08Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:09:08Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7730.213461,PC1
2022-07-10T16:09:08Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:09:08Z,entertainment,A: shares ~ weekday + selected numeric vars,Random_Forests,7761.804062,PC1
2022-07-10T16:09:08Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7765.495878,PC1
2022-07-10T16:22:41Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:22:41Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7713.586194,PC1
2022-07-10T16:22:41Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:22:41Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7769.441947,PC1
2022-07-10T16:23:34Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:23:34Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7681.055701,PC1
2022-07-10T16:23:34Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:23:34Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7775.642274,PC1
2022-07-10T16:24:13Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:24:13Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7678.46882,PC1
2022-07-10T16:24:13Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:24:13Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7761.887273,PC1
2022-07-10T16:38:58Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:38:58Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7713.586194,PC1
2022-07-10T16:38:58Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:38:58Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7769.441947,PC1
2022-07-10T16:39:51Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:39:51Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7681.055701,PC1
2022-07-10T16:39:51Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:39:51Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7775.642274,PC1
2022-07-10T16:40:30Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T16:40:30Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7678.46882,PC1
2022-07-10T16:40:30Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T16:40:30Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7761.887273,PC1
2022-07-10T17:01:15Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T17:01:15Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7713.586194,PC1
2022-07-10T17:01:15Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T17:01:15Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7769.441947,PC1
2022-07-10T17:13:10Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T17:13:10Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7713.586194,PC1
2022-07-10T17:13:10Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T17:13:10Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7769.441947,PC1
2022-07-10T18:07:54Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC1
2022-07-10T18:07:54Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7730.213461,PC1
2022-07-10T18:07:54Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC1
2022-07-10T18:07:54Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7765.495878,PC1
2022-07-10T18:24:38Z,bus,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7884.418085,PC1
2022-07-10T18:24:38Z,bus,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7933.8756,PC1
2022-07-10T18:24:38Z,bus,A: shares ~ weekday + selected numeric vars,Linear_Regression,7942.377317,PC1
2022-07-10T18:24:38Z,bus,B: shares ~ is_weekend + all numeric vars,Linear_Regression,8730.559651,PC1
2022-07-10T18:43:30Z,tech,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4405.309762,PC1
2022-07-10T18:43:30Z,tech,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4423.383601,PC1
2022-07-10T18:43:30Z,tech,A: shares ~ weekday + selected numeric vars,Linear_Regression,4427.075188,PC1
2022-07-10T18:43:30Z,tech,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4477.063711,PC1
2022-07-10T18:46:57Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,10386.60361,PC1
2022-07-10T18:46:57Z,lifestyle,A: shares ~ weekday + selected numeric vars,Boosted_Tree,10396.84186,PC1
2022-07-10T18:46:57Z,lifestyle,A: shares ~ weekday + selected numeric vars,Linear_Regression,10453.59905,PC1
2022-07-10T18:46:57Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Linear_Regression,10476.04931,PC1
2022-07-10T19:10:26Z,world,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,3651.708016,PC1
2022-07-10T19:10:26Z,world,B: shares ~ is_weekend + all numeric vars,Linear_Regression,3674.695808,PC1
2022-07-10T19:10:26Z,world,A: shares ~ weekday + selected numeric vars,Linear_Regression,3697.256102,PC1
2022-07-10T19:10:26Z,world,A: shares ~ weekday + selected numeric vars,Boosted_Tree,3738.88262,PC1
2022-07-10T19:24:21Z,misc,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,23689.19626,PC1
2022-07-10T19:24:21Z,misc,A: shares ~ weekday + selected numeric vars,Linear_Regression,23698.14511,PC1
2022-07-10T19:24:21Z,misc,A: shares ~ weekday + selected numeric vars,Boosted_Tree,23711.87515,PC1
2022-07-10T19:24:21Z,misc,B: shares ~ is_weekend + all numeric vars,Linear_Regression,23740.76249,PC1
2022-07-10T19:28:05Z,socmed,A: shares ~ weekday + selected numeric vars,Linear_Regression,4118.489537,PC1
2022-07-10T19:28:05Z,socmed,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4179.68235,PC1
2022-07-10T19:28:05Z,socmed,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4190.453063,PC1
2022-07-10T19:28:05Z,socmed,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4193.296737,PC1
